h3_index,latitude,longitude,location
8960144a2cbffff,13.0715267,77.442553,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)"
8960144a2dbffff,13.070772475,77.4438399,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)"
8960144a64bffff,13.065641133333335,77.45335143333334,"Mumbai Bengaluru Highway, Makali, Bengaluru, Karnataka. Pin-562162 (India)"
8960144b4dbffff,13.085203484210528,77.48646901578948,"Maruti Mandir Road, MSPP Layout, Soladevanahalli, Bengaluru, Karnataka. Pin-560107 (India)"
8960144b5a3ffff,13.068091521428572,77.44880159285715,"Mumbai Bengaluru Highway, Alur Village, Bengaluru, Karnataka. Pin-562162 (India)"
8960144b5afffff,13.069667666666666,77.4462186,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)"
8960144b5b3ffff,13.067148099999999,77.4515101,"Huskur Main Road, Makali, Bengaluru, Karnataka. Pin-562162 (India)"
89601451097ffff,12.8778133,77.517105,"Vajarahalli Road, Pavamanapura, Bengaluru, Karnataka. Pin-560062 (India)"
896014511cbffff,12.8838377,77.5019219,"Vajarahalli Road, Block 7, Banashankari Stage 6, Bengaluru, Karnataka. Pin-560062 (India)"
89601451207ffff,12.909806665384615,77.51341474230769,"Sri Sri Sri Tiruchi Mahaswamiji Road, Subhash Chandrabose Nagar, BEML Layout Stage 5, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
8960145120fffff,12.914249850000001,77.51440935,"2nd Cross Road, Janakshi Layout, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
89601451233ffff,12.90950334,77.51313968,"Sri Sri Sri Tiruchi Mahaswamiji Road, Prakruthi Aroma, BEML Layout Stage 10, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
8960145123bffff,12.9128301,77.5137208,"Sri Sri Sri Tiruchi Mahaswamiji Road, Janakshi Layout, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
89601451257ffff,12.916493992307693,77.52058697692308,"Model Road, Krishnappa Block, BEML Layout Stage 3, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
89601451263ffff,12.91848164,77.513663,"Sri Sri Sri Tiruchi Mahaswamiji Road, Sai Shakthi Enclave, BEML Layout Stage 5, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
8960145126bffff,12.921978866666668,77.51446776666667,"Sri Sri Sri Tiruchi Mahaswamiji Road, Halagevaderahalli, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
89601451287ffff,12.9026833,77.5190814,"Dr Vishnuvardhan Main Road, Channasandra, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
896014512a3ffff,12.904228566666667,77.51244003333333,"Sri Sri Sri Tiruchi Mahaswamiji Road, Srinivasapura Cross, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
896014512a7ffff,12.9039264,77.5108473,"24th Main Road, Kanakadas Circle, Gaanakallu, Bengaluru, Karnataka. Pin-560060 (India)"
8960145140bffff,12.876135699999999,77.53007835,"Vajarahalli Road, Prasad Layout, Ganigara Palya, Lingadheeranahalli Andhrahalli, Bengaluru, Karnataka. Pin-560109 (India)"
8960145141bffff,12.8760065,77.5317885,"1st Cross Road, Sobha Forest View, Lingadheeranahalli Andhrahalli, Bengaluru, Karnataka. Pin-560061 (India)"
